"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","duration"
5,"ours0.s1",9.96,11.56,6.13,1.5,0.22,29.36,1.72,41.6
5,"ours0.s2",0.17,0.21,0.31,0.09,0.01,0.78,0.1,42.97
5,"bf.s1",9.33,11.67,6.32,1.48,0.21,29.02,1.69,41.93
5,"bf.s2",0,0,0,0,0,0,0,41.93
5,"ours1.s1",8.59,10.7,6.07,1.51,0.28,27.14,1.79,31.4
5,"ours1.s2",1.22,0.9,0.41,0.1,0.01,2.63,0.1,35.32
5,"ours2.s1",8.7,10.71,6.01,1.42,0.25,27.09,1.67,31.43
5,"ours2.s2",1.4,0.91,0.44,0.12,0.02,2.89,0.14,35.61
5,"titeet",7.3,9.1,3.8,0.9,0.1,21.2,1,24.18
5,"bfet",7.28,11.15,6.98,2.03,0.4,27.83,2.43,34.2
53,"ours0.s1",9.96,11.56,6.13,1.5,0.22,29.36,1.72,41.6
53,"ours0.s2",0.17,0.21,0.31,0.09,0.01,0.78,0.1,42.97
53,"bf.s1",9.33,11.67,6.32,1.48,0.21,29.02,1.69,41.93
53,"bf.s2",0,0,0,0,0,0,0,41.93
53,"ours1.s1",8.59,10.7,6.07,1.51,0.28,27.14,1.79,31.4
53,"ours1.s2",1.22,0.9,0.41,0.1,0.01,2.63,0.1,35.32
53,"ours2.s1",8.7,10.71,6.01,1.42,0.25,27.09,1.67,31.43
53,"ours2.s2",1.4,0.91,0.44,0.12,0.02,2.89,0.14,35.61
53,"titeet",7.3,9.1,3.8,0.9,0.1,21.2,1,24.18
53,"bfet",7.28,11.15,6.98,2.03,0.4,27.83,2.43,34.2
45,"ours0.s1",10.26,11.94,6.22,1.49,0.22,30.15,1.72,44.69
45,"ours0.s2",0.07,0.12,0.26,0.08,0.02,0.55,0.1,45.63
45,"bf.s1",9.56,12.01,6.39,1.44,0.2,29.6,1.65,44.84
45,"bf.s2",0,0,0,0,0,0,0,44.84
45,"ours1.s1",9.62,11.43,6.22,1.48,0.24,28.99,1.72,37.89
45,"ours1.s2",0.36,0.44,0.37,0.1,0.01,1.29,0.12,40.04
45,"ours2.s1",9.61,11.49,6.16,1.4,0.24,28.9,1.64,37.89
45,"ours2.s2",0.41,0.42,0.41,0.14,0.02,1.4,0.16,40.15
45,"titeet",6.9,9.1,4,1.1,0.2,21.3,1.3,24.96
45,"bfet",7.6,12.08,7.2,2.15,0.44,29.47,2.59,46.3
13,"ours0.s1",10.12,11.72,6.06,1.44,0.23,29.57,1.67,42.88
13,"ours0.s2",0.1,0.18,0.31,0.13,0.02,0.73,0.14,44.09
13,"bf.s1",9.42,11.79,6.36,1.5,0.22,29.3,1.73,43.11
13,"bf.s2",0,0,0,0,0,0,0,43.11
13,"ours1.s1",9.18,11.02,6.04,1.54,0.28,28.05,1.81,34.36
13,"ours1.s2",0.74,0.66,0.4,0.1,0.01,1.9,0.11,37.39
13,"ours2.s1",9.15,11.11,6.18,1.55,0.26,28.25,1.81,34.47
13,"ours2.s2",0.77,0.68,0.45,0.13,0.01,2.03,0.14,37.58
13,"titeet",7.1,9.1,3.9,1,0.2,21.3,1.2,24.41
13,"bfet",7.55,11.79,7.06,2.13,0.47,29,2.6,40.5
21,"ours0.s1",10.26,11.94,6.22,1.49,0.22,30.15,1.72,44.69
21,"ours0.s2",0.07,0.12,0.26,0.08,0.02,0.55,0.1,45.63
21,"bf.s1",9.56,12.01,6.39,1.44,0.2,29.6,1.65,44.84
21,"bf.s2",0,0,0,0,0,0,0,44.84
21,"ours1.s1",9.62,11.43,6.22,1.48,0.24,28.99,1.72,37.89
21,"ours1.s2",0.36,0.44,0.37,0.1,0.01,1.29,0.12,40.04
21,"ours2.s1",9.61,11.49,6.16,1.4,0.24,28.9,1.64,37.89
21,"ours2.s2",0.41,0.42,0.41,0.14,0.02,1.4,0.16,40.15
21,"titeet",6.9,9.1,4,1.1,0.2,21.3,1.3,24.96
21,"bfet",7.6,12.08,7.2,2.15,0.44,29.47,2.59,46.3
61,"ours0.s1",10.12,11.72,6.06,1.44,0.23,29.57,1.67,42.88
61,"ours0.s2",0.1,0.18,0.31,0.13,0.02,0.73,0.14,44.09
61,"bf.s1",9.42,11.79,6.36,1.5,0.22,29.3,1.73,43.11
61,"bf.s2",0,0,0,0,0,0,0,43.11
61,"ours1.s1",9.18,11.02,6.04,1.54,0.28,28.05,1.81,34.36
61,"ours1.s2",0.74,0.66,0.4,0.1,0.01,1.9,0.11,37.39
61,"ours2.s1",9.15,11.11,6.18,1.55,0.26,28.25,1.81,34.47
61,"ours2.s2",0.77,0.68,0.45,0.13,0.01,2.03,0.14,37.58
61,"titeet",7.1,9.1,3.9,1,0.2,21.3,1.2,24.41
61,"bfet",7.55,11.79,7.06,2.13,0.47,29,2.6,40.5
29,"ours0.s1",9.96,11.56,6.13,1.5,0.22,29.36,1.72,41.6
29,"ours0.s2",0.17,0.21,0.31,0.09,0.01,0.78,0.1,42.97
29,"bf.s1",9.33,11.67,6.32,1.48,0.21,29.02,1.69,41.93
29,"bf.s2",0,0,0,0,0,0,0,41.93
29,"ours1.s1",8.59,10.7,6.07,1.51,0.28,27.14,1.79,31.4
29,"ours1.s2",1.22,0.9,0.41,0.1,0.01,2.63,0.1,35.32
29,"ours2.s1",8.7,10.71,6.01,1.42,0.25,27.09,1.67,31.43
29,"ours2.s2",1.4,0.91,0.44,0.12,0.02,2.89,0.14,35.61
29,"titeet",7.3,9.1,3.8,0.9,0.1,21.2,1,24.18
29,"bfet",7.28,11.15,6.98,2.03,0.4,27.83,2.43,34.2
37,"ours0.s1",10.12,11.72,6.06,1.44,0.23,29.57,1.67,42.88
37,"ours0.s2",0.1,0.18,0.31,0.13,0.02,0.73,0.14,44.09
37,"bf.s1",9.42,11.79,6.36,1.5,0.22,29.3,1.73,43.11
37,"bf.s2",0,0,0,0,0,0,0,43.11
37,"ours1.s1",9.18,11.02,6.04,1.54,0.28,28.05,1.81,34.36
37,"ours1.s2",0.74,0.66,0.4,0.1,0.01,1.9,0.11,37.39
37,"ours2.s1",9.15,11.11,6.18,1.55,0.26,28.25,1.81,34.47
37,"ours2.s2",0.77,0.68,0.45,0.13,0.01,2.03,0.14,37.58
37,"titeet",7.1,9.1,3.9,1,0.2,21.3,1.2,24.41
37,"bfet",7.55,11.79,7.06,2.13,0.47,29,2.6,40.5
69,"ours0.s1",10.26,11.94,6.22,1.49,0.22,30.15,1.72,44.69
69,"ours0.s2",0.07,0.12,0.26,0.08,0.02,0.55,0.1,45.63
69,"bf.s1",9.56,12.01,6.39,1.44,0.2,29.6,1.65,44.84
69,"bf.s2",0,0,0,0,0,0,0,44.84
69,"ours1.s1",9.62,11.43,6.22,1.48,0.24,28.99,1.72,37.89
69,"ours1.s2",0.36,0.44,0.37,0.1,0.01,1.29,0.12,40.04
69,"ours2.s1",9.61,11.49,6.16,1.4,0.24,28.9,1.64,37.89
69,"ours2.s2",0.41,0.42,0.41,0.14,0.02,1.4,0.16,40.15
69,"titeet",6.9,9.1,4,1.1,0.2,21.3,1.3,24.96
69,"bfet",7.6,12.08,7.2,2.15,0.44,29.47,2.59,46.3
25,"ours0.s1",11.58,11.44,6.62,1.68,0.29,31.61,1.96,41.59
25,"ours0.s2",0.33,0.28,0.24,0.1,0.01,0.97,0.12,43.31
25,"bf.s1",10.85,11.81,6.88,1.7,0.29,31.53,1.99,41.77
25,"bf.s2",0,0,0,0,0,0,0,41.77
25,"ours1.s1",8.9,10.36,6.37,1.65,0.35,27.63,2,31.26
25,"ours1.s2",2.64,0.86,0.33,0.12,0.01,3.95,0.12,37.06
25,"ours2.s1",8.79,10.63,6.54,1.66,0.36,27.98,2.01,31.47
25,"ours2.s2",2.89,0.97,0.42,0.1,0.01,4.38,0.11,37.83
25,"titeet",8.6,6.5,2.9,0.7,0.1,18.8,0.8,21.28
25,"bfet",10.03,11.39,7.63,2.34,0.53,31.92,2.87,36.8
85,"ours0.s1",10.48,12.24,6.19,1.37,0.18,30.47,1.55,30.42
85,"ours0.s2",0.01,0.04,0.21,0.09,0.02,0.37,0.11,30.83
85,"bf.s1",9.75,12.34,6.39,1.36,0.16,30.01,1.53,30.58
85,"bf.s2",0,0,0,0,0,0,0,30.58
85,"ours1.s1",10.1,11.85,6.17,1.43,0.22,29.77,1.65,22.99
85,"ours1.s2",0.15,0.19,0.31,0.1,0,0.75,0.1,23.9
85,"ours2.s1",10.07,11.76,6.17,1.5,0.23,29.73,1.73,23.08
85,"ours2.s2",0.15,0.24,0.32,0.12,0.01,0.85,0.14,24.09
85,"titeet",6.9,9.1,4.1,1.1,0.2,21.4,1.3,16.33
85,"bfet",7.73,12.19,7.19,2.08,0.4,29.59,2.48,27.3
57,"ours0.s1",11.81,11.56,6.67,1.66,0.29,31.99,1.95,43.2
57,"ours0.s2",0.19,0.22,0.23,0.11,0.02,0.77,0.13,44.59
57,"bf.s1",11.06,11.98,6.94,1.72,0.31,32,2.02,43.11
57,"bf.s2",0,0,0,0,0,0,0,43.11
57,"ours1.s1",10.02,10.76,6.46,1.73,0.36,29.33,2.09,34.48
57,"ours1.s2",1.64,0.77,0.34,0.09,0.01,2.85,0.1,38.93
57,"ours2.s1",10.02,10.71,6.59,1.74,0.33,29.4,2.07,34.52
57,"ours2.s2",1.65,0.86,0.43,0.13,0.01,3.08,0.14,39.28
57,"titeet",8.5,6.5,3,0.8,0.1,18.9,0.9,21.66
57,"bfet",10.81,12.09,7.65,2.35,0.61,33.5,2.96,42.7
49,"ours0.s1",11.58,11.44,6.62,1.68,0.29,31.61,1.96,41.59
49,"ours0.s2",0.33,0.28,0.24,0.1,0.01,0.97,0.12,43.31
49,"bf.s1",10.85,11.81,6.88,1.7,0.29,31.53,1.99,41.77
49,"bf.s2",0,0,0,0,0,0,0,41.77
49,"ours1.s1",8.9,10.36,6.37,1.65,0.35,27.63,2,31.26
49,"ours1.s2",2.64,0.86,0.33,0.12,0.01,3.95,0.12,37.06
49,"ours2.s1",8.79,10.63,6.54,1.66,0.36,27.98,2.01,31.47
49,"ours2.s2",2.89,0.97,0.42,0.1,0.01,4.38,0.11,37.83
49,"titeet",8.6,6.5,2.9,0.7,0.1,18.8,0.8,21.28
49,"bfet",10.03,11.39,7.63,2.34,0.53,31.92,2.87,36.8
77,"ours0.s1",10.4,11.91,6.14,1.45,0.19,30.09,1.64,29.24
77,"ours0.s2",0.02,0.06,0.28,0.09,0.02,0.47,0.11,29.79
77,"bf.s1",9.66,12.08,6.39,1.43,0.17,29.73,1.6,29.48
77,"bf.s2",0,0,0,0,0,0,0,29.48
77,"ours1.s1",9.43,11.18,5.97,1.37,0.23,28.19,1.61,19.79
77,"ours1.s2",0.53,0.49,0.36,0.11,0.01,1.51,0.12,21.52
77,"ours2.s1",9.43,11.18,6.05,1.4,0.24,28.3,1.64,19.8
77,"ours2.s2",0.63,0.52,0.39,0.14,0.02,1.7,0.16,21.71
77,"titeet",7.1,9.1,3.9,1,0.2,21.3,1.2,15.93
77,"bfet",7.57,11.7,7.06,2.13,0.45,28.91,2.58,21.6
133,"ours0.s1",10.48,12.24,6.19,1.37,0.18,30.47,1.55,30.42
133,"ours0.s2",0.01,0.04,0.21,0.09,0.02,0.37,0.11,30.83
133,"bf.s1",9.75,12.34,6.39,1.36,0.16,30.01,1.53,30.58
133,"bf.s2",0,0,0,0,0,0,0,30.58
133,"ours1.s1",10.1,11.85,6.17,1.43,0.22,29.77,1.65,22.99
133,"ours1.s2",0.15,0.19,0.31,0.1,0,0.75,0.1,23.9
133,"ours2.s1",10.07,11.76,6.17,1.5,0.23,29.73,1.73,23.08
133,"ours2.s2",0.15,0.24,0.32,0.12,0.01,0.85,0.14,24.09
133,"titeet",6.9,9.1,4.1,1.1,0.2,21.4,1.3,16.33
133,"bfet",7.73,12.19,7.19,2.08,0.4,29.59,2.48,27.3
65,"ours0.s1",12.05,11.78,6.63,1.66,0.28,32.41,1.94,45.15
65,"ours0.s2",0.13,0.17,0.23,0.09,0,0.61,0.09,46.26
65,"bf.s1",11.32,12.22,6.96,1.62,0.28,32.4,1.9,45.03
65,"bf.s2",0,0,0,0,0,0,0,45.03
65,"ours1.s1",11.11,11.18,6.56,1.64,0.32,30.83,1.97,38.45
65,"ours1.s2",0.71,0.48,0.29,0.1,0.01,1.59,0.11,41.12
65,"ours2.s1",11.12,11.11,6.65,1.62,0.32,30.82,1.94,38.36
65,"ours2.s2",0.78,0.56,0.36,0.14,0.02,1.85,0.16,41.4
65,"titeet",8.3,6.6,3.1,1,0.2,19.2,1.2,22.32
65,"bfet",11.16,12.65,7.91,2.4,0.57,34.69,2.97,48.8
101,"ours0.s1",10.4,11.91,6.14,1.45,0.19,30.09,1.64,29.24
101,"ours0.s2",0.02,0.06,0.28,0.09,0.02,0.47,0.11,29.79
101,"bf.s1",9.66,12.08,6.39,1.43,0.17,29.73,1.6,29.48
101,"bf.s2",0,0,0,0,0,0,0,29.48
101,"ours1.s1",9.43,11.18,5.97,1.37,0.23,28.19,1.61,19.79
101,"ours1.s2",0.53,0.49,0.36,0.11,0.01,1.51,0.12,21.52
101,"ours2.s1",9.43,11.18,6.05,1.4,0.24,28.3,1.64,19.8
101,"ours2.s2",0.63,0.52,0.39,0.14,0.02,1.7,0.16,21.71
101,"titeet",7.1,9.1,3.9,1,0.2,21.3,1.2,15.93
101,"bfet",7.57,11.7,7.06,2.13,0.45,28.91,2.58,21.6
109,"ours0.s1",10.48,12.24,6.19,1.37,0.18,30.47,1.55,30.42
109,"ours0.s2",0.01,0.04,0.21,0.09,0.02,0.37,0.11,30.83
109,"bf.s1",9.75,12.34,6.39,1.36,0.16,30.01,1.53,30.58
109,"bf.s2",0,0,0,0,0,0,0,30.58
109,"ours1.s1",10.1,11.85,6.17,1.43,0.22,29.77,1.65,22.99
109,"ours1.s2",0.15,0.19,0.31,0.1,0,0.75,0.1,23.9
109,"ours2.s1",10.07,11.76,6.17,1.5,0.23,29.73,1.73,23.08
109,"ours2.s2",0.15,0.24,0.32,0.12,0.01,0.85,0.14,24.09
109,"titeet",6.9,9.1,4.1,1.1,0.2,21.4,1.3,16.33
109,"bfet",7.73,12.19,7.19,2.08,0.4,29.59,2.48,27.3
41,"ours0.s1",12.05,11.78,6.63,1.66,0.28,32.41,1.94,45.15
41,"ours0.s2",0.13,0.17,0.23,0.09,0,0.61,0.09,46.26
41,"bf.s1",11.32,12.22,6.96,1.62,0.28,32.4,1.9,45.03
41,"bf.s2",0,0,0,0,0,0,0,45.03
41,"ours1.s1",11.11,11.18,6.56,1.64,0.32,30.83,1.97,38.45
41,"ours1.s2",0.71,0.48,0.29,0.1,0.01,1.59,0.11,41.12
41,"ours2.s1",11.12,11.11,6.65,1.62,0.32,30.82,1.94,38.36
41,"ours2.s2",0.78,0.56,0.36,0.14,0.02,1.85,0.16,41.4
41,"titeet",8.3,6.6,3.1,1,0.2,19.2,1.2,22.32
41,"bfet",11.16,12.65,7.91,2.4,0.57,34.69,2.97,48.8
50,"ours0.s1",8.36,11.73,8.55,3.67,0.82,33.13,4.49,44.86
50,"ours0.s2",0.2,0.34,0.6,0.34,0.06,1.53,0.39,47.38
50,"bf.s1",7.56,11.69,8.89,3.69,0.8,32.63,4.49,45.09
50,"bf.s2",0,0,0,0,0,0,0,45.09
50,"ours1.s1",6.81,9.92,8.06,3.69,0.91,29.39,4.6,33.44
50,"ours1.s2",1.32,1.84,0.93,0.34,0.06,4.49,0.4,39.91
50,"ours2.s1",6.84,9.84,7.93,3.77,0.97,29.36,4.74,33.18
50,"ours2.s2",1.74,2,1.05,0.41,0.06,5.27,0.47,40.46
50,"titeet",5.9,9,5.1,1.9,0.4,22.3,2.3,25.59
50,"bfet",5.99,10.91,9.36,4.74,1.31,32.3,6.05,38.3
2,"ours0.s1",8.36,11.73,8.55,3.67,0.82,33.13,4.49,44.86
2,"ours0.s2",0.2,0.34,0.6,0.34,0.06,1.53,0.39,47.38
2,"bf.s1",7.56,11.69,8.89,3.69,0.8,32.63,4.49,45.09
2,"bf.s2",0,0,0,0,0,0,0,45.09
2,"ours1.s1",6.81,9.92,8.06,3.69,0.91,29.39,4.6,33.44
2,"ours1.s2",1.32,1.84,0.93,0.34,0.06,4.49,0.4,39.91
2,"ours2.s1",6.84,9.84,7.93,3.77,0.97,29.36,4.74,33.18
2,"ours2.s2",1.74,2,1.05,0.41,0.06,5.27,0.47,40.46
2,"titeet",5.9,9,5.1,1.9,0.4,22.3,2.3,25.59
2,"bfet",5.99,10.91,9.36,4.74,1.31,32.3,6.05,38.3
58,"ours0.s1",8.59,11.98,8.6,3.55,0.78,33.5,4.34,45.99
58,"ours0.s2",0.13,0.25,0.51,0.28,0.07,1.25,0.35,48.11
58,"bf.s1",7.65,11.87,8.95,3.72,0.8,32.98,4.52,46.08
58,"bf.s2",0,0,0,0,0,0,0,46.08
58,"ours1.s1",7.5,10.58,8.14,3.58,0.88,30.67,4.45,36.09
58,"ours1.s2",0.83,1.24,0.85,0.34,0.05,3.31,0.39,41.08
58,"ours2.s1",7.53,10.63,8.1,3.59,0.87,30.71,4.45,36.1
58,"ours2.s2",1.05,1.44,0.89,0.41,0.07,3.86,0.48,41.74
58,"titeet",5.8,8.9,5.1,2.1,0.4,22.3,2.5,25.94
58,"bfet",6.2,11.58,9.58,4.84,1.35,33.56,6.19,44.4
125,"ours0.s1",10.4,11.91,6.14,1.45,0.19,30.09,1.64,29.24
125,"ours0.s2",0.02,0.06,0.28,0.09,0.02,0.47,0.11,29.79
125,"bf.s1",9.66,12.08,6.39,1.43,0.17,29.73,1.6,29.48
125,"bf.s2",0,0,0,0,0,0,0,29.48
125,"ours1.s1",9.43,11.18,5.97,1.37,0.23,28.19,1.61,19.79
125,"ours1.s2",0.53,0.49,0.36,0.11,0.01,1.51,0.12,21.52
125,"ours2.s1",9.43,11.18,6.05,1.4,0.24,28.3,1.64,19.8
125,"ours2.s2",0.63,0.52,0.39,0.14,0.02,1.7,0.16,21.71
125,"titeet",7.1,9.1,3.9,1,0.2,21.3,1.2,15.93
125,"bfet",7.57,11.7,7.06,2.13,0.45,28.91,2.58,21.6
141,"ours0.s1",10.51,12.56,6.31,1.37,0.17,30.92,1.54,32.02
141,"ours0.s2",0.01,0.04,0.21,0.08,0.01,0.35,0.09,32.43
141,"bf.s1",9.81,12.51,6.42,1.39,0.16,30.29,1.55,32.03
141,"bf.s2",0,0,0,0,0,0,0,32.03
141,"ours1.s1",10.32,12.34,6.44,1.37,0.17,30.63,1.54,27.06
141,"ours1.s2",0.03,0.07,0.22,0.1,0.01,0.42,0.11,27.56
141,"ours2.s1",10.34,12.3,6.42,1.41,0.19,30.66,1.6,27.05
141,"ours2.s2",0.03,0.08,0.27,0.09,0.02,0.49,0.11,27.6
141,"titeet",7,9,4.1,1.2,0.2,21.5,1.4,16.97
141,"bfet",7.87,12.43,7.33,2.08,0.44,30.16,2.52,33.3
117,"ours0.s1",10.51,12.56,6.31,1.37,0.17,30.92,1.54,32.02
117,"ours0.s2",0.01,0.04,0.21,0.08,0.01,0.35,0.09,32.43
117,"bf.s1",9.81,12.51,6.42,1.39,0.16,30.29,1.55,32.03
117,"bf.s2",0,0,0,0,0,0,0,32.03
117,"ours1.s1",10.32,12.34,6.44,1.37,0.17,30.63,1.54,27.06
117,"ours1.s2",0.03,0.07,0.22,0.1,0.01,0.42,0.11,27.56
117,"ours2.s1",10.34,12.3,6.42,1.41,0.19,30.66,1.6,27.05
117,"ours2.s2",0.03,0.08,0.27,0.09,0.02,0.49,0.11,27.6
117,"titeet",7,9,4.1,1.2,0.2,21.5,1.4,16.97
117,"bfet",7.87,12.43,7.33,2.08,0.44,30.16,2.52,33.3
9,"ours0.s1",11.81,11.56,6.67,1.66,0.29,31.99,1.95,43.2
9,"ours0.s2",0.19,0.22,0.23,0.11,0.02,0.77,0.13,44.59
9,"bf.s1",11.06,11.98,6.94,1.72,0.31,32,2.02,43.11
9,"bf.s2",0,0,0,0,0,0,0,43.11
9,"ours1.s1",10.02,10.76,6.46,1.73,0.36,29.33,2.09,34.48
9,"ours1.s2",1.64,0.77,0.34,0.09,0.01,2.85,0.1,38.93
9,"ours2.s1",10.02,10.71,6.59,1.74,0.33,29.4,2.07,34.52
9,"ours2.s2",1.65,0.86,0.43,0.13,0.01,3.08,0.14,39.28
9,"titeet",8.5,6.5,3,0.8,0.1,18.9,0.9,21.66
9,"bfet",10.81,12.09,7.65,2.35,0.61,33.5,2.96,42.7
33,"ours0.s1",11.81,11.56,6.67,1.66,0.29,31.99,1.95,43.2
33,"ours0.s2",0.19,0.22,0.23,0.11,0.02,0.77,0.13,44.59
33,"bf.s1",11.06,11.98,6.94,1.72,0.31,32,2.02,43.11
33,"bf.s2",0,0,0,0,0,0,0,43.11
33,"ours1.s1",10.02,10.76,6.46,1.73,0.36,29.33,2.09,34.48
33,"ours1.s2",1.64,0.77,0.34,0.09,0.01,2.85,0.1,38.93
33,"ours2.s1",10.02,10.71,6.59,1.74,0.33,29.4,2.07,34.52
33,"ours2.s2",1.65,0.86,0.43,0.13,0.01,3.08,0.14,39.28
33,"titeet",8.5,6.5,3,0.8,0.1,18.9,0.9,21.66
33,"bfet",10.81,12.09,7.65,2.35,0.61,33.5,2.96,42.7
17,"ours0.s1",12.05,11.78,6.63,1.66,0.28,32.41,1.94,45.15
17,"ours0.s2",0.13,0.17,0.23,0.09,0,0.61,0.09,46.26
17,"bf.s1",11.32,12.22,6.96,1.62,0.28,32.4,1.9,45.03
17,"bf.s2",0,0,0,0,0,0,0,45.03
17,"ours1.s1",11.11,11.18,6.56,1.64,0.32,30.83,1.97,38.45
17,"ours1.s2",0.71,0.48,0.29,0.1,0.01,1.59,0.11,41.12
17,"ours2.s1",11.12,11.11,6.65,1.62,0.32,30.82,1.94,38.36
17,"ours2.s2",0.78,0.56,0.36,0.14,0.02,1.85,0.16,41.4
17,"titeet",8.3,6.6,3.1,1,0.2,19.2,1.2,22.32
17,"bfet",11.16,12.65,7.91,2.4,0.57,34.69,2.97,48.8
18,"ours0.s1",8.81,12.28,8.71,3.6,0.81,34.21,4.41,47.77
18,"ours0.s2",0.08,0.18,0.47,0.3,0.05,1.08,0.35,49.61
18,"bf.s1",7.78,12.12,9.09,3.72,0.78,33.49,4.5,47.82
18,"bf.s2",0,0,0,0,0,0,0,47.82
18,"ours1.s1",8.1,11.31,8.41,3.68,0.86,32.36,4.54,40.34
18,"ours1.s2",0.41,0.75,0.65,0.34,0.04,2.2,0.39,43.87
18,"ours2.s1",8.04,11.28,8.47,3.65,0.85,32.29,4.5,40.33
18,"ours2.s2",0.56,0.87,0.74,0.41,0.05,2.64,0.46,44.37
18,"titeet",5.6,8.7,5.2,2.3,0.5,22.3,2.8,26.57
18,"bfet",6.25,11.87,10.03,5.03,1.39,34.56,6.42,50.9
14,"ours0.s1",5.98,7.74,9.19,9.28,4.68,36.87,-1,50.18
14,"ours0.s2",0.06,0.16,0.52,1.03,0.56,2.34,-1,53.9
14,"bf.s1",4.58,7.11,9.68,9.53,4.64,35.54,-1,50.07
14,"bf.s2",0,0,0,0,0,0,-1,50.07
14,"ours1.s1",5.35,6.51,7.96,8.54,4.65,33.01,-1,38.44
14,"ours1.s2",0.54,1.06,1.37,1.53,0.52,5.02,-1,45.73
14,"ours2.s1",5.32,6.52,7.96,8.47,4.76,33.03,-1,38.49
14,"ours2.s2",0.74,1.47,1.7,1.65,0.6,6.15,-1,47.05
14,"titeet",4,5.1,6.6,7.9,3.3,26.9,-1,32.73
14,"bfet",4.14,5.8,8.02,10.5,6.13,34.58,-1,47.4
38,"ours0.s1",5.98,7.74,9.19,9.28,4.68,36.87,-1,50.18
38,"ours0.s2",0.06,0.16,0.52,1.03,0.56,2.34,-1,53.9
38,"bf.s1",4.58,7.11,9.68,9.53,4.64,35.54,-1,50.07
38,"bf.s2",0,0,0,0,0,0,-1,50.07
38,"ours1.s1",5.35,6.51,7.96,8.54,4.65,33.01,-1,38.44
38,"ours1.s2",0.54,1.06,1.37,1.53,0.52,5.02,-1,45.73
38,"ours2.s1",5.32,6.52,7.96,8.47,4.76,33.03,-1,38.49
38,"ours2.s2",0.74,1.47,1.7,1.65,0.6,6.15,-1,47.05
38,"titeet",4,5.1,6.6,7.9,3.3,26.9,-1,32.73
38,"bfet",4.14,5.8,8.02,10.5,6.13,34.58,-1,47.4
26,"ours0.s1",8.36,11.73,8.55,3.67,0.82,33.13,4.49,44.86
26,"ours0.s2",0.2,0.34,0.6,0.34,0.06,1.53,0.39,47.38
26,"bf.s1",7.56,11.69,8.89,3.69,0.8,32.63,4.49,45.09
26,"bf.s2",0,0,0,0,0,0,0,45.09
26,"ours1.s1",6.81,9.92,8.06,3.69,0.91,29.39,4.6,33.44
26,"ours1.s2",1.32,1.84,0.93,0.34,0.06,4.49,0.4,39.91
26,"ours2.s1",6.84,9.84,7.93,3.77,0.97,29.36,4.74,33.18
26,"ours2.s2",1.74,2,1.05,0.41,0.06,5.27,0.47,40.46
26,"titeet",5.9,9,5.1,1.9,0.4,22.3,2.3,25.59
26,"bfet",5.99,10.91,9.36,4.74,1.31,32.3,6.05,38.3
1,"ours0.s1",11.58,11.44,6.62,1.68,0.29,31.61,1.96,41.59
1,"ours0.s2",0.33,0.28,0.24,0.1,0.01,0.97,0.12,43.31
1,"bf.s1",10.85,11.81,6.88,1.7,0.29,31.53,1.99,41.77
1,"bf.s2",0,0,0,0,0,0,0,41.77
1,"ours1.s1",8.9,10.36,6.37,1.65,0.35,27.63,2,31.26
1,"ours1.s2",2.64,0.86,0.33,0.12,0.01,3.95,0.12,37.06
1,"ours2.s1",8.79,10.63,6.54,1.66,0.36,27.98,2.01,31.47
1,"ours2.s2",2.89,0.97,0.42,0.1,0.01,4.38,0.11,37.83
1,"titeet",8.6,6.5,2.9,0.7,0.1,18.8,0.8,21.28
1,"bfet",10.03,11.39,7.63,2.34,0.53,31.92,2.87,36.8
66,"ours0.s1",8.81,12.28,8.71,3.6,0.81,34.21,4.41,47.77
66,"ours0.s2",0.08,0.18,0.47,0.3,0.05,1.08,0.35,49.61
66,"bf.s1",7.78,12.12,9.09,3.72,0.78,33.49,4.5,47.82
66,"bf.s2",0,0,0,0,0,0,0,47.82
66,"ours1.s1",8.1,11.31,8.41,3.68,0.86,32.36,4.54,40.34
66,"ours1.s2",0.41,0.75,0.65,0.34,0.04,2.2,0.39,43.87
66,"ours2.s1",8.04,11.28,8.47,3.65,0.85,32.29,4.5,40.33
66,"ours2.s2",0.56,0.87,0.74,0.41,0.05,2.64,0.46,44.37
66,"titeet",5.6,8.7,5.2,2.3,0.5,22.3,2.8,26.57
66,"bfet",6.25,11.87,10.03,5.03,1.39,34.56,6.42,50.9
10,"ours0.s1",8.59,11.98,8.6,3.55,0.78,33.5,4.34,45.99
10,"ours0.s2",0.13,0.25,0.51,0.28,0.07,1.25,0.35,48.11
10,"bf.s1",7.65,11.87,8.95,3.72,0.8,32.98,4.52,46.08
10,"bf.s2",0,0,0,0,0,0,0,46.08
10,"ours1.s1",7.5,10.58,8.14,3.58,0.88,30.67,4.45,36.09
10,"ours1.s2",0.83,1.24,0.85,0.34,0.05,3.31,0.39,41.08
10,"ours2.s1",7.53,10.63,8.1,3.59,0.87,30.71,4.45,36.1
10,"ours2.s2",1.05,1.44,0.89,0.41,0.07,3.86,0.48,41.74
10,"titeet",5.8,8.9,5.1,2.1,0.4,22.3,2.5,25.94
10,"bfet",6.2,11.58,9.58,4.84,1.35,33.56,6.19,44.4
34,"ours0.s1",8.59,11.98,8.6,3.55,0.78,33.5,4.34,45.99
34,"ours0.s2",0.13,0.25,0.51,0.28,0.07,1.25,0.35,48.11
