"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","duration"
120,"ours2.s1",5.9,11.41,11.28,8.51,4.49,41.6,-1,31.43
120,"ours2.s2",0.02,0.12,0.37,0.81,0.41,1.73,-1,33.3
120,"titeet",3.7,7.3,5.9,4.1,1.9,22.9,-1,19.74
120,"bfet",4.19,10.74,12.19,10.95,5.99,44.06,-1,39.3
144,"ours0.s1",6.04,11.79,11.77,9.08,4.3,42.98,-1,37.38
144,"ours0.s2",0,0.01,0.11,0.43,0.33,0.88,-1,38.36
144,"bf.s1",4.85,11.34,12.09,9.31,4.22,41.81,-1,37.14
144,"bf.s2",0,0,0,0,0,0,-1,37.14
144,"ours1.s1",5.92,11.48,11.14,8.5,4.54,41.58,-1,31.37
144,"ours1.s2",0.01,0.1,0.32,0.63,0.31,1.38,-1,32.93
144,"ours2.s1",5.9,11.41,11.28,8.51,4.49,41.6,-1,31.43
144,"ours2.s2",0.02,0.12,0.37,0.81,0.41,1.73,-1,33.3
144,"titeet",3.7,7.3,5.9,4.1,1.9,22.9,-1,19.74
144,"bfet",4.19,10.74,12.19,10.95,5.99,44.06,-1,39.3
128,"ours0.s1",5.86,11.42,11.36,8.56,4.47,41.66,-1,34.86
128,"ours0.s2",0,0.03,0.21,0.58,0.31,1.14,-1,36.12
128,"bf.s1",4.82,11,11.71,8.8,4.31,40.65,-1,34.83
128,"bf.s2",0,0,0,0,0,0,-1,34.83
128,"ours1.s1",5.15,9.1,8.99,7.37,4.36,34.97,-1,23.04
128,"ours1.s2",0.26,1.64,1.56,1.05,0.33,4.85,-1,27.72
128,"ours2.s1",5.12,9.02,8.86,7.45,4.51,34.96,-1,23.01
128,"ours2.s2",0.45,1.86,1.85,1.22,0.36,5.73,-1,28.26
128,"titeet",3.7,7.4,6.1,4,1.7,22.9,-1,18.51
128,"bfet",3.96,9.9,10.92,9.25,6.03,40.05,-1,26
99,"ours0.s1",6.15,8.06,11.34,9.48,4.54,39.58,-1,35.27
99,"ours0.s2",0,0.01,0.27,0.8,0.44,1.52,-1,36.96
99,"bf.s1",5.04,7.91,11.27,9.84,4.62,38.68,-1,35.32
99,"bf.s2",0,0,0,0,0,0,-1,35.32
99,"ours1.s1",5.64,6.67,9.05,8.51,4.74,34.6,-1,23.55
99,"ours1.s2",0.22,0.73,1.91,1.34,0.42,4.62,-1,28.12
99,"ours2.s1",5.62,6.73,9.1,8.48,4.58,34.52,-1,23.51
99,"ours2.s2",0.34,0.95,2.03,1.49,0.57,5.38,-1,28.51
99,"titeet",4,5.1,8,5.9,2.5,25.5,-1,21.15
99,"bfet",4.2,5.78,10.43,10.22,6.1,36.73,-1,25.5
179,"ours0.s1",6.24,8.22,11.8,10.22,4.64,41.12,-1,31.63
179,"ours0.s2",0,0,0.14,0.63,0.44,1.21,-1,32.74
179,"bf.s1",5.09,8.03,11.87,10.36,4.48,39.83,-1,31.48
179,"bf.s2",0,0,0,0,0,0,-1,31.48
179,"ours1.s1",6.25,8.14,11.32,9.6,4.85,40.17,-1,23.39
179,"ours1.s2",0.01,0.05,0.34,0.87,0.44,1.72,-1,24.99
179,"ours2.s1",6.2,8.22,11.42,9.7,4.76,40.3,-1,23.38
179,"ours2.s2",0.01,0.06,0.35,0.92,0.57,1.91,-1,25.07
179,"titeet",4,5.1,7.7,5.8,2.7,25.3,-1,19.07
179,"bfet",4.48,6.18,11.42,11.77,6.1,39.95,-1,27.3
104,"ours0.s1",5.86,11.42,11.36,8.56,4.47,41.66,-1,34.86
104,"ours0.s2",0,0.03,0.21,0.58,0.31,1.14,-1,36.12
104,"bf.s1",4.82,11,11.71,8.8,4.31,40.65,-1,34.83
104,"bf.s2",0,0,0,0,0,0,-1,34.83
104,"ours1.s1",5.15,9.1,8.99,7.37,4.36,34.97,-1,23.04
104,"ours1.s2",0.26,1.64,1.56,1.05,0.33,4.85,-1,27.72
104,"ours2.s1",5.12,9.02,8.86,7.45,4.51,34.96,-1,23.01
104,"ours2.s2",0.45,1.86,1.85,1.22,0.36,5.73,-1,28.26
104,"titeet",3.7,7.4,6.1,4,1.7,22.9,-1,18.51
104,"bfet",3.96,9.9,10.92,9.25,6.03,40.05,-1,26
155,"ours0.s1",6.24,8.22,11.8,10.22,4.64,41.12,-1,31.63
155,"ours0.s2",0,0,0.14,0.63,0.44,1.21,-1,32.74
155,"bf.s1",5.09,8.03,11.87,10.36,4.48,39.83,-1,31.48
155,"bf.s2",0,0,0,0,0,0,-1,31.48
155,"ours1.s1",6.25,8.14,11.32,9.6,4.85,40.17,-1,23.39
155,"ours1.s2",0.01,0.05,0.34,0.87,0.44,1.72,-1,24.99
155,"ours2.s1",6.2,8.22,11.42,9.7,4.76,40.3,-1,23.38
155,"ours2.s2",0.01,0.06,0.35,0.92,0.57,1.91,-1,25.07
155,"titeet",4,5.1,7.7,5.8,2.7,25.3,-1,19.07
155,"bfet",4.48,6.18,11.42,11.77,6.1,39.95,-1,27.3
195,"ours0.s1",6.18,8.27,11.49,9.76,4.55,40.25,-1,30.86
195,"ours0.s2",0,0.01,0.2,0.75,0.46,1.41,-1,32.16
195,"bf.s1",5.08,7.99,11.53,10.01,4.56,39.17,-1,30.8
195,"bf.s2",0,0,0,0,0,0,-1,30.8
195,"ours1.s1",6.05,7.42,10.17,9,4.63,37.28,-1,19.97
195,"ours1.s2",0.07,0.33,1.11,1.17,0.42,3.1,-1,22.76
195,"ours2.s1",6.14,7.4,10.2,8.89,4.67,37.3,-1,19.93
195,"ours2.s2",0.1,0.46,1.2,1.31,0.56,3.63,-1,23.02
195,"titeet",3.9,5.1,7.8,5.9,2.6,25.3,-1,18.71
195,"bfet",4.32,5.85,10.96,10.73,6.19,38.04,-1,20.3
147,"ours0.s1",6.18,8.27,11.49,9.76,4.55,40.25,-1,30.86
147,"ours0.s2",0,0.01,0.2,0.75,0.46,1.41,-1,32.16
147,"bf.s1",5.08,7.99,11.53,10.01,4.56,39.17,-1,30.8
147,"bf.s2",0,0,0,0,0,0,-1,30.8
147,"ours1.s1",6.05,7.42,10.17,9,4.63,37.28,-1,19.97
147,"ours1.s2",0.07,0.33,1.11,1.17,0.42,3.1,-1,22.76
147,"ours2.s1",6.14,7.4,10.2,8.89,4.67,37.3,-1,19.93
147,"ours2.s2",0.1,0.46,1.2,1.31,0.56,3.63,-1,23.02
147,"titeet",3.9,5.1,7.8,5.9,2.6,25.3,-1,18.71
147,"bfet",4.32,5.85,10.96,10.73,6.19,38.04,-1,20.3
187,"ours0.s1",6.3,8.26,12.06,10.44,4.47,41.53,-1,32.88
187,"ours0.s2",0,0,0.13,0.6,0.44,1.17,-1,33.93
187,"bf.s1",5.1,8.1,12.12,10.65,4.45,40.42,-1,32.75
187,"bf.s2",0,0,0,0,0,0,-1,32.75
187,"ours1.s1",6.26,8.34,11.97,10.09,4.67,41.33,-1,27.98
187,"ours1.s2",0,0,0.16,0.69,0.41,1.26,-1,29.13
187,"ours2.s1",6.27,8.32,11.91,10.14,4.68,41.31,-1,28
187,"ours2.s2",0,0,0.17,0.74,0.58,1.49,-1,29.29
187,"titeet",4.1,5.2,7.6,5.8,2.8,25.5,-1,19.84
187,"bfet",4.57,6.35,11.78,12.05,5.94,40.69,-1,34.5
203,"ours0.s1",6.24,8.22,11.8,10.22,4.64,41.12,-1,31.63
203,"ours0.s2",0,0,0.14,0.63,0.44,1.21,-1,32.74
203,"bf.s1",5.09,8.03,11.87,10.36,4.48,39.83,-1,31.48
203,"bf.s2",0,0,0,0,0,0,-1,31.48
203,"ours1.s1",6.25,8.14,11.32,9.6,4.85,40.17,-1,23.39
203,"ours1.s2",0.01,0.05,0.34,0.87,0.44,1.72,-1,24.99
203,"ours2.s1",6.2,8.22,11.42,9.7,4.76,40.3,-1,23.38
203,"ours2.s2",0.01,0.06,0.35,0.92,0.57,1.91,-1,25.07
203,"titeet",4,5.1,7.7,5.8,2.7,25.3,-1,19.07
